Player-additional,Age,TS%,RPG,APG,PPG,BPG,SPG,Player,Pos,Pos_og,Year,All Star,MVP
mcbrimi01,21,0.393,1.1,1.0,2.2,0.0,0.4,Miles McBride,G,PG,2022,False,N
mccluma01,23,0.7240000000000001,1.5,0.5,4.0,0.5,0.5,Mac McClung,G,SG-PG,2022,False,N
mccolcj01,30,0.555,4.366666666666666,5.133333333333333,22.3,0.3333333333333333,1.1333333333333335,CJ McCollum,G,SG,2022,False,N
mccontj01,29,0.525,3.3,4.9,8.5,0.4,1.1,T.J. McConnell,G,PG,2022,False,N
mcdanja01,24,0.595,3.1,1.1,6.2,0.4,0.5,Jalen McDaniels,F,SF,2022,False,N
mcdanja02,21,0.553,4.2,1.1,9.2,0.8,0.7,Jaden McDaniels,F,PF,2022,False,N
mcderdo01,30,0.593,2.3,1.3,11.3,0.1,0.3,Doug McDermott,F,PF,2022,False,N
mcgeeja01,34,0.651,6.7,0.6,9.2,1.1,0.3,JaVale McGee,C,C,2022,False,N
mcgrica01,24,0.47,5.0,1.0,4.7,0.3,0.0,Cameron McGriff,F,SF,2022,False,N
mcgruro01,30,0.577,2.2,0.9,5.4,0.1,0.4,Rodney McGruder,G,SG,2022,False,N
mckinal01,29,0.457,1.9,0.3,3.5,0.2,0.1,Alfonzo McKinnie,F,SF,2022,False,N
mclauja01,24,0.0,0.0,0.5,0.0,0.0,0.0,JaQuori McLaughlin,G,PG,2022,False,N
mclaujo01,25,0.535,1.5,2.9,3.8,0.2,0.9,Jordan McLaughlin,G,PG,2022,False,N
mclembe01,28,0.567,1.6,0.9,10.2,0.2,0.6,Ben McLemore,G,SG,2022,False,N
meltode01,23,0.529,4.5,2.7,10.8,0.5,1.4,De'Anthony Melton,G,SG,2022,False,N
merrisa01,25,0.485,1.2,0.7,4.2,0.0,0.0,Sam Merrill,G,SG,2022,False,N
metuch01,24,0.546,5.6,1.0,8.9,0.5,0.9,Chimezie Metu,C,C,2022,False,N
middlkh01,30,0.577,5.4,5.4,20.1,0.3,1.2,Khris Middleton,F,SF,2022,True,N
milescj01,34,0.0,0.0,0.0,0.0,0.0,0.0,C.J. Miles,G,SG,2022,False,N
millspa01,36,0.4666666666666666,3.3333333333333335,0.8333333333333334,3.5333333333333337,0.3666666666666667,0.3666666666666667,Paul Millsap,C,C,2022,False,N
millspa02,33,0.563,1.9,2.3,11.4,0.2,0.6,Patty Mills,G,SG,2022,False,N
miltosh01,25,0.517,2.6,2.5,8.2,0.3,0.5,Shake Milton,G,SG,2022,False,N
mitchda01,23,0.489,2.2,4.2,11.5,0.3,0.7,Davion Mitchell,G,PG,2022,False,N
mitchdo01,25,0.572,4.2,5.3,25.9,0.2,1.5,Donovan Mitchell,G,SG,2022,True,N
mobleev01,20,0.549,8.3,2.5,15.0,1.7,0.8,Evan Mobley,F,PF,2022,False,N
monkma01,23,0.597,3.4,2.9,13.8,0.4,0.8,Malik Monk,G,SG,2022,False,N
