Player-additional,Age,TS%,RPG,APG,PPG,BPG,SPG,Player,Pos,Pos_og,Year,All Star
walkeke02,32,0.543,1.8,2.1,8.0,0.2,0.2,Kemba Walker,G,PG,2023,False
walkelo01,24,0.568,2.0,1.2,11.8,0.3,0.5,Lonnie Walker IV,G,SG,2023,False
walljo01,32,0.498,2.7,5.2,11.4,0.4,0.8,John Wall,G,PG,2023,False
warretj01,29,0.5329999999999999,2.933333333333333,0.9333333333333332,7.066666666666666,0.3,0.5,T.J. Warren,F,PF-SF,2023,False
washidu02,22,0.458,1.2,2.0,7.9,0.1,0.2,Duane Washington Jr.,G,SG,2023,False
washipj01,24,0.542,4.9,2.4,15.7,1.1,0.9,P.J. Washington,F,PF,2023,False
washity02,21,0.423,1.4,1.6,4.6,0.1,0.4,TyTy Washington Jr.,G,PG,2023,False
watanyu01,28,0.64,2.4,0.9,5.6,0.3,0.5,Yuta Watanabe,F,SF,2023,False
waterli01,25,0.57,1.8,0.7,5.1,0.3,0.3,Lindy Waters III,G,SG,2023,False
watfotr01,22,0.621,3.8,2.0,6.9,0.2,0.5,Trendon Watford,F,PF,2023,False
watsope01,20,0.606,1.3,0.3,2.7,0.4,0.1,Peyton Watson,G,SG,2023,False
weslebl01,19,0.375,2.0,2.5,4.6,0.1,0.6,Blake Wesley,G,SG,2023,False
westbru01,34,0.5206666666666667,5.6000000000000005,7.633333333333333,15.6,0.4666666666666666,1.0999999999999999,Russell Westbrook,G,PG,2023,False
whiteco01,22,0.567,2.8,2.7,9.5,0.1,0.8,Coby White,G,SG,2023,False
whitede01,28,0.605,3.6,3.9,12.5,0.9,0.6,Derrick White,G,SG,2023,False
whiteja03,25,0.548,0.6,0.2,1.2,0.1,0.1,Jack White,F,SF,2023,False
wieskjo01,23,0.563,0.4,0.1,1.3,0.0,0.0,Joe Wieskamp,F,SF,2023,False
wiggiaa01,24,0.603,3.0,1.1,6.7,0.2,0.5,Aaron Wiggins,G,SG,2023,False
wiggian01,27,0.564,5.0,2.3,17.1,0.8,1.2,Andrew Wiggins,F,SF,2023,False
wiggili01,24,0.405,0.2,0.4,1.6,0.0,0.0,Lindell Wigginton,G,PG,2023,False
willial06,23,0.0,1.0,0.0,0.0,0.0,0.0,Alondes Williams,G,SG,2023,False
willido02,21,0.0,1.0,0.0,0.0,0.0,0.0,Donovan Williams,G,SG,2023,False
willigr01,24,0.614,4.7,1.7,8.3,0.4,0.5,Grant Williams,F,PF,2023,False
willija06,21,0.603,4.5,3.3,14.1,0.5,1.4,Jalen Williams,G,SG,2023,False
willija07,20,0.555,4.9,1.5,5.8,0.3,0.6,Jaylin Williams,F,PF,2023,False
willije02,23,0.458,3.0,1.5,5.5,1.0,1.5,Jeenathan Williams,G,SG,2023,False
willike04,28,0.585,4.9,2.0,8.0,0.3,0.8,Kenrich Williams,F,PF,2023,False
willima07,21,0.646,6.9,0.4,8.6,1.0,0.6,Mark Williams,C,C,2023,False
willipa01,21,0.58,3.9,1.2,10.2,0.8,0.9,Patrick Williams,F,PF,2023,False
williro04,25,0.743,8.3,1.4,8.0,1.3,0.6,Robert Williams,C,C,2023,False
willivi01,22,0.333,0.6,0.3,0.8,0.1,0.3,Vince Williams Jr.,G,SG,2023,False
willizi01,22,0.652,7.0,4.6,26.0,0.6,1.1,Zion Williamson,F,PF,2023,True
willizi02,21,0.503,2.1,0.7,5.2,0.1,0.4,Ziaire Williams,F,SF,2023,False
windldy01,26,0.833,0.0,0.3,1.7,0.0,0.3,Dylan Windler,F,SF,2023,False
winslju01,26,0.466,5.0,3.4,6.8,0.4,1.0,Justise Winslow,F,SF,2023,False
wisemja01,21,0.6033333333333333,5.933333333333334,0.6999999999999998,10.0,0.6,0.16666666666666666,James Wiseman,C,C,2023,False
woodch01,27,0.627,7.4,1.8,16.7,1.0,0.4,Christian Wood,C,C,2023,False
wrighde01,30,0.579,3.5,3.9,7.3,0.3,1.9,Delon Wright,G,PG,2023,False
wrighmc01,24,0.543,1.6,2.0,3.5,0.2,0.3,McKinley Wright IV,G,PG,2023,False
youngth01,34,0.573,3.1,1.4,4.4,0.1,1.0,Thaddeus Young,F,PF,2023,False
youngtr01,24,0.57,3.0,9.9,26.2,0.1,1.1,Trae Young,G,PG,2023,False
yurtsom01,24,0.581,1.5,0.0,2.0,0.2,0.2,Omer Yurtseven,C,C,2023,False
zelleco01,30,0.623,4.2,0.5,5.8,0.3,0.2,Cody Zeller,C,C,2023,False
zubaciv01,25,0.658,9.9,1.0,10.6,1.3,0.4,Ivica Zubac,C,C,2023,False
